Sample_ID,Area median,Area sd,Area skew,Perimeter median,Perimeter sd,Perimeter skew,Eccentricity median,Eccentricity sd,Eccentricity skew,Solidity median,Solidity sd,Solidity skew,Aspect.Ratio median,Aspect.Ratio sd,Aspect.Ratio skew,Intensity.Mean median,Intensity.Mean sd,Intensity.Mean skew,Intensity.Median median,Intensity.Median sd,Intensity.Median skew,Intensity.SD median,Intensity.SD sd,Intensity.SD skew,Intensity.Max median,Intensity.Max sd,Intensity.Max skew,Intensity.Min median,Intensity.Min sd,Intensity.Min skew,Intensity.Skew median,Intensity.Skew sd,Intensity.Skew skew,Texture.Contrast.Mean median,Texture.Contrast.Mean sd,Texture.Contrast.Mean skew,Texture.Contrast.Median median,Texture.Contrast.Median sd,Texture.Contrast.Median skew,Texture.Contrast.SD median,Texture.Contrast.SD sd,Texture.Contrast.SD skew,Texture.Contrast.Max median,Texture.Contrast.Max sd,Texture.Contrast.Max skew,Texture.Contrast.Min median,Texture.Contrast.Min sd,Texture.Contrast.Min skew,Texture.Homogeneity.Mean median,Texture.Homogeneity.Mean sd,Texture.Homogeneity.Mean skew,Texture.Homogeneity.Median median,Texture.Homogeneity.Median sd,Texture.Homogeneity.Median skew,Texture.Homogeneity.SD median,Texture.Homogeneity.SD sd,Texture.Homogeneity.SD skew,Texture.Homogeneity.Max median,Texture.Homogeneity.Max sd,Texture.Homogeneity.Max skew,Texture.Homogeneity.Min median,Texture.Homogeneity.Min sd,Texture.Homogeneity.Min skew,Texture.Energy.Mean median,Texture.Energy.Mean sd,Texture.Energy.Mean skew,Texture.Energy.Median median,Texture.Energy.Median sd,Texture.Energy.Median skew,Texture.Energy.SD median,Texture.Energy.SD sd,Texture.Energy.SD skew,Texture.Energy.Max median,Texture.Energy.Max sd,Texture.Energy.Max skew,Texture.Energy.Min median,Texture.Energy.Min sd,Texture.Energy.Min skew,Texture.Correlation.Mean median,Texture.Correlation.Mean sd,Texture.Correlation.Mean skew,Texture.Correlation.Median median,Texture.Correlation.Median sd,Texture.Correlation.Median skew,Texture.Correlation.SD median,Texture.Correlation.SD sd,Texture.Correlation.SD skew,Texture.Correlation.Max median,Texture.Correlation.Max sd,Texture.Correlation.Max skew,Texture.Correlation.Min median,Texture.Correlation.Min sd,Texture.Correlation.Min skew,Cell Number
TCGA-05-4382-01A,-0.241483391,-0.220720152,-0.267682983,-0.132859913,-0.232369602,-0.212437343,0.032985846,-0.019425869,0.023875846,-0.164770909,0.052674135,0.079675272,-0.00758758,-0.181265731,-0.328892717,-0.195519181,-0.119729287,0.076466197,-0.130414741,-0.09519274,0.087122075,-0.059208173,-0.180507063,0.007691808,-0.324438699,-0.108680382,0.257147589,-0.286511511,-0.21910107,0.033070255,0.091969594,-0.031710907,-0.030497488,-0.266187307,-0.247989316,-0.03144469,-0.283390534,-0.254282303,-0.02615511,-0.305744841,-0.28029663,-0.094747735,-0.272762358,-0.240925988,-0.019401489,-0.260624168,-0.266285148,0.020593081,0.131670532,-0.020397625,-0.053386221,0.099579581,-0.005091548,-0.037183613,0.134981313,-0.072603816,-0.109304758,0.12899469,-0.045583733,-0.085257508,0.084332473,-0.043374114,-0.033726756,0.115774504,-0.005362089,-0.059387697,0.084825937,-0.011740255,-0.092065279,0.104236969,-0.051138068,-0.171906118,0.146147284,-0.015531573,-0.066942705,0.073028109,-0.044602097,-0.123611554,-0.172909411,-0.261937611,-0.137581414,-0.195787026,-0.242118497,-0.109682279,-0.10182977,-0.138917241,-0.181414175,-0.215433579,-0.198965252,-0.181012624,-0.131149299,-0.232366792,-0.069637164,0.289045486
TCGA-05-4402-01A,-0.207421772,-0.205476768,-0.278559634,-0.058648925,-0.196654603,-0.194081402,0.034660117,-0.015624171,-0.010039462,-0.157071873,0.008537229,0.061308611,-0.000687854,-0.217099013,-0.301439747,-0.271099436,-0.13938155,-0.028738391,-0.276475738,-0.084852726,0.004003486,-0.193755554,-0.240846017,0.016620104,-0.279640487,-0.11853261,0.292305984,-0.316990082,-0.231187574,-0.057786009,0.071352951,-0.052407122,0.03725046,-0.285501677,-0.26675393,-0.040594192,-0.286108799,-0.268154004,-0.05712915,-0.293458204,-0.254392542,-0.146528701,-0.290975416,-0.253138514,-0.052958979,-0.266420785,-0.288645249,-0.040146594,0.113781167,-0.00278407,-0.079174946,0.123810484,-0.025544529,-0.025701278,0.140350595,-0.067397336,-0.150091639,0.117737767,-0.015965553,-0.005427811,0.10216972,-0.032755318,-0.079586137,0.121031271,0.031527596,-0.091923481,0.113771021,0.061846872,-0.058315885,0.145706854,-0.076588295,-0.09363481,0.132482001,0.013621698,-0.044274289,0.076495239,0.020152486,-0.133249104,-0.098707183,-0.228490364,-0.156553039,-0.087406001,-0.212713811,-0.146179907,-0.11541556,-0.147677853,-0.2002061,-0.164011696,-0.223755066,-0.218018759,-0.056970095,-0.212257516,-0.105130833,0.318175297
TCGA-05-4410-01A,-0.174768452,-0.229755086,-0.208182905,-0.146719157,-0.231496081,-0.175586576,-0.026258187,0.016289226,0.018989795,-0.055553655,0.067261026,0.042568691,-0.061202648,-0.158322127,-0.289807001,-0.210071202,-0.013595774,0.142873158,-0.241187204,0.017840653,0.157381252,0.007200664,-0.023605753,-0.029207378,-0.179256863,-0.06473727,0.222170583,-0.319560051,-0.038951041,0.0291325,0.136211573,0.007320469,0.031467711,-0.164462939,-0.095102841,-0.042687103,-0.15868835,-0.097511128,-0.096102554,-0.190253184,-0.156371141,-0.057459267,-0.174023827,-0.101809786,-0.052012834,-0.168445171,-0.096431756,-0.064123151,-0.037688267,-0.090269384,-0.051194619,-0.032657334,-0.082345987,-0.022270839,0.035885838,-0.072187146,-0.146629904,0.009509067,-0.076326611,-0.05624274,-0.065825361,-0.118028186,-0.091989135,-0.009364622,-0.069806389,-0.050807243,-0.037214799,-0.078756696,-0.048662861,0.049849176,-0.016967092,-0.13481064,-0.001378224,-0.020006812,-0.083420194,-0.038905097,-0.101186071,-0.115601584,-0.161392847,-0.221773542,-0.101059379,-0.165519107,-0.221497426,-0.084925345,-0.078507849,-0.169359189,-0.231405566,-0.185941528,-0.191107704,-0.213568631,-0.124916192,-0.177845799,0.007251327,0.322755356
TCGA-05-4425-01A,-0.270504037,-0.194371702,-0.29297372,-0.245694399,-0.258058881,-0.263489423,-0.022525368,-0.014910526,-0.042735097,-0.053426897,0.000621852,0.116968125,-0.069929931,-0.185329012,-0.326229862,-0.297784551,-0.242144505,0.070416077,-0.304399912,-0.195066402,0.068552441,-0.127912822,-0.262604968,0.002067023,-0.329218015,-0.100983275,0.230648839,-0.274515384,-0.271411181,0.147347712,0.244445685,-0.05775215,-0.04929342,-0.308919186,-0.320995865,0.030127422,-0.318395271,-0.318648327,0.008969346,-0.304562565,-0.293433852,-0.104065218,-0.319459024,-0.316464922,-0.032527629,-0.296274785,-0.350695967,0.01268346,-0.055226578,-0.11376218,-0.04999165,-0.057546906,-0.1356537,-0.050029264,0.14842006,-0.086859047,-0.154211252,0.023243958,-0.097550823,-0.049466956,-0.058174009,-0.139517498,-0.076919033,-0.039858178,-0.100946591,-0.074198994,-0.061624684,-0.114764762,-0.072306316,0.109355511,0.015214813,-0.147595486,0.011081117,-0.080489894,-0.052491905,-0.038586123,-0.115015258,-0.092079945,-0.252009606,-0.321999518,-0.200711377,-0.256186461,-0.299564176,-0.159958122,-0.109271123,-0.175399941,-0.187728406,-0.290118822,-0.264175747,-0.202163696,-0.2034051,-0.272588306,-0.173845657,0.417972398
TCGA-05-5423-01A,-0.123259997,-0.196019866,-0.196795658,-0.081931336,-0.169649505,-0.131104167,-0.039760879,-0.043356446,-0.020292101,-0.04082676,0.061115759,0.111436564,-0.072618527,-0.236213588,-0.257622133,-0.042633747,0.052955831,-0.047703142,-0.125963811,0.050984412,0.018787794,-0.175760998,-0.009143841,0.017403743,-0.180893857,-0.113581191,0.251545865,-0.136029393,-0.012627885,-0.083348977,0.084509619,-0.026596056,-0.025297633,-0.205413222,-0.022733136,-0.000575075,-0.197950885,-0.022097684,-0.023649045,-0.174758643,-0.063394472,-0.128758326,-0.195143003,-0.041885945,-0.062186907,-0.202310206,-0.065270652,-0.019543592,-0.001644018,-0.080293134,-0.115545957,-0.01106596,-0.083927703,-0.096654333,0.03452444,-0.032468409,-0.163048081,0.058902491,-0.046992175,-0.073223681,-0.019083179,-0.041633841,-0.104700664,-0.013419423,-0.03495531,-0.111910565,-0.027372465,-0.031592641,-0.12356796,0.018890164,-0.007468287,-0.140597774,0.012367537,-0.052699466,-0.100664741,-0.026392768,-0.041503883,-0.09176933,-0.03673828,-0.083165484,-0.123586008,-0.070779406,-0.109203124,-0.097631987,-0.093841832,-0.13692925,-0.234134994,-0.050703786,-0.11662378,-0.252876581,-0.072147947,-0.068850102,-0.001844168,0.214106814
TCGA-38-4627-01A,-0.186034231,-0.21151962,-0.222130577,-0.141090667,-0.155782418,-0.146910241,-0.000359402,-0.017068896,0.018377747,-0.026727168,0.043148981,0.092037944,-0.036556702,-0.215973363,-0.297428625,-0.088618453,-0.057891244,0.024889403,-0.084525683,-0.050921924,0.101310321,0.076710292,-0.102110205,-0.035215487,-0.175316427,-0.109765888,0.222998807,-0.100447169,-0.077855686,0.015773422,0.051257446,-0.018850878,0.014577852,-0.108428294,-0.120323881,-0.052618383,-0.106484306,-0.113152753,-0.063670176,-0.088715589,-0.131610884,-0.138095282,-0.093032813,-0.128332675,-0.090136374,-0.10184902,-0.132784034,-0.048008611,0.033031086,-0.037209845,-0.080384984,0.026981343,-0.055640691,-0.076440654,0.095948753,-0.016930201,-0.124746535,0.048987367,-0.06138065,-0.049981497,-0.021979431,-0.060858405,-0.083464188,0.025974025,-0.035641381,-0.104019225,-0.00199553,-0.027124678,-0.093118237,0.041588827,-0.027434437,-0.110540771,0.050459427,-0.052743756,-0.08240635,0.011878754,-0.052838979,-0.109088682,-0.179336513,-0.117886382,-0.056541,-0.179533313,-0.130752397,-0.02260206,-0.014597718,-0.070366631,-0.163325108,-0.15155321,-0.084021108,-0.155082451,-0.090777247,-0.14879362,-0.048932921,0.154619727
TCGA-38-4628-01A,-0.138709806,-0.171159184,-0.205252345,-0.086932697,-0.144984065,-0.153570532,0.009996893,-0.047715591,-0.016322325,0.001895761,0.037789946,0.059624044,-0.025439957,-0.163774599,-0.290193314,-0.162197451,-0.181666663,0.023694455,-0.121067672,-0.178105349,0.05023761,-0.14241224,-0.253372095,0.03587936,-0.231158408,-0.131426662,0.27035737,-0.130474621,-0.12819126,-0.037684966,0.201922121,-0.058868985,0.035197355,-0.26683438,-0.160426221,-0.04841214,-0.25285621,-0.151049927,-0.018934642,-0.248737761,-0.177894026,-0.146278869,-0.263592735,-0.17359675,-0.108525712,-0.23647297,-0.203016079,-0.019893563,-0.057734128,-0.06566285,-0.040884761,-0.030280966,-0.050102224,-0.003084325,-0.029429401,-0.047599462,-0.137102662,-0.016080698,0.005903699,0.013445871,-0.02134989,-0.05739148,-0.083611948,-0.082431736,-0.030306979,-0.06455001,-0.067583947,-0.006122904,-0.041091946,-0.068816389,-0.107613839,-0.063239406,-0.040530313,0.003797307,-0.005559177,-0.121491625,-0.049761789,-0.132718043,-0.119982124,-0.211483632,-0.0813851,-0.126229249,-0.230565402,-0.035693217,-0.040952516,-0.131721378,-0.169771152,-0.192239188,-0.186348379,-0.157398578,-0.031439915,-0.194642864,-0.052797204,0.249490014
TCGA-38-4629-01A,-0.090247426,-0.197771297,-0.225528735,-0.034320566,-0.111999391,-0.16539744,0.029352974,-0.008148908,-0.014995341,-0.007877625,0.042700178,0.125961302,-0.003956278,-0.184036806,-0.294065257,-0.191057941,-0.199921873,0.01817866,-0.135846885,-0.15898009,0.078355803,-0.078660255,-0.196973543,-0.031837755,-0.417776361,-0.116650481,0.219621486,-0.14486753,-0.221017846,0.043207355,0.02703005,-0.039773156,0.034293365,-0.339569559,-0.317701615,-0.073561623,-0.351448933,-0.299913445,-0.052844572,-0.294234466,-0.27969737,-0.106216652,-0.349802152,-0.308748326,-0.049716142,-0.336158573,-0.312208577,-0.010079936,0.003785268,-0.010511918,-0.041464096,0.007803509,-0.020694246,-0.01255162,0.012166402,-0.033319651,-0.131991928,0.022434007,-0.008228136,-0.069444946,0.021246039,0.006426854,-0.048472554,0.019083896,0.007420956,-0.040641648,-0.02499216,0.005740505,-0.047172044,0.041392093,-0.009774381,-0.111512308,0.018186813,-0.015650177,-0.063286388,-0.026062548,0.016767421,-0.085407373,-0.088762131,-0.165091063,-0.076796456,-0.082998456,-0.166211081,-0.042055094,0.010079395,-0.101891856,-0.183526493,-0.117071749,-0.160214095,-0.143388503,-0.060091899,-0.118107233,-0.012140425,0.364812464
TCGA-38-6178-01A,-0.193574755,-0.171118501,-0.220117929,-0.154681809,-0.121950495,-0.150714882,0.011487005,-0.041021828,-0.002173594,-0.092497003,0.024575364,0.123675007,-0.029558395,-0.257630515,-0.265675675,-0.070454134,-0.08563779,-0.021378342,-0.093739717,-0.064075043,-0.026358099,-0.013993178,-0.117949675,0.019039395,-0.12604412,-0.170204605,0.283904584,-0.208898574,-0.113082729,-0.031533426,-0.028429631,-0.058726581,-0.035251686,-0.058580625,-0.135763854,-0.051928463,-0.061820986,-0.140172513,-0.056564438,-0.116041156,-0.14873468,-0.14626404,-0.072547402,-0.130870691,-0.074249177,-0.050824941,-0.134900221,-0.056361063,-0.010486742,-0.036522326,-0.067302399,-0.014736619,-0.036625577,-0.073911025,0.055851292,-0.085262812,-0.205604885,0.009530871,-0.049254269,-0.075651919,-0.044687685,-0.055252526,-0.054025012,0.004519817,-0.041668736,-0.082320496,-0.013392334,-0.04130095,-0.083478377,0.081778777,-0.053328965,-0.205135989,0.041388961,-0.049026203,-0.082863143,-0.032556414,-0.054243319,-0.067853749,-0.163674353,-0.102984798,-0.106159896,-0.166360646,-0.110926179,-0.156591471,-0.024879322,-0.153792173,-0.319118864,-0.122889471,-0.132388281,-0.291448449,-0.164567129,-0.108698989,0.029189725,0.249047108
TCGA-44-2661-01A,-0.123408884,-0.109842676,-0.262139861,-0.028176018,-0.150182669,-0.182258643,-0.011897013,-0.033448871,-0.005632064,-0.000716341,0.069005288,0.057076792,-0.052245564,-0.091100422,-0.301078487,-0.310174774,-0.10301241,0.090448931,-0.299352699,-0.070206589,0.088275618,-0.28024428,-0.151199678,-0.041330187,-0.321637882,-0.071116358,0.204262181,-0.34476172,-0.202980307,0.03812003,0.194658256,-0.003601887,0.013060058,-0.358891669,-0.215796735,-0.01298127,-0.351629227,-0.222223662,-0.06248332,-0.321464785,-0.249950471,-0.100367993,-0.376684781,-0.229961453,-0.049549776,-0.330733429,-0.252267368,-0.017044386,0.032677114,-0.027464196,-0.054554823,0.051510222,-0.017880709,-0.051218252,0.068966301,-0.027331752,-0.118330583,0.069769845,-0.01811169,-0.046387401,0.020712671,-0.052993465,-0.072728086,0.029796117,-0.025174557,-0.101544254,0.053718316,-0.00363038,-0.093142644,0.105064877,0.017662345,-0.112970188,0.069981659,-0.01344632,-0.042941251,0.016056755,-0.037653805,-0.093670481,-0.066152869,-0.155857349,-0.125791555,-0.061700683,-0.15862337,-0.086120402,-0.047238607,-0.137559659,-0.181456215,-0.110832929,-0.115579813,-0.185829605,-0.024809039,-0.155745907,-0.055865139,0.36017986
TCGA-44-5645-01A,-0.161123316,-0.124242063,-0.23851306,-0.02964489,-0.15118832,-0.153045829,0.041772064,0.013234359,-0.010521007,-0.086199367,0.035546838,0.065646092,0.00499663,-0.094444293,-0.280141421,-0.310415982,-0.118437557,0.089167567,-0.29072291,-0.14263892,0.0953904,-0.230096713,-0.269118167,-0.050338204,-0.323073839,-0.058540432,0.236778819,-0.280987717,-0.15898562,-0.005461134,0.217701591,-0.028466784,0.041320922,-0.302206847,-0.230878292,-0.038029481,-0.314883424,-0.209890578,-0.064966636,-0.27044081,-0.240116762,-0.085080793,-0.307698521,-0.219498098,-0.053204129,-0.316931475,-0.254283299,-0.100724415,0.043354602,0.009587214,-0.093664135,0.066403291,0.033549513,-0.059343876,0.089669587,0.025638951,-0.084643741,0.106114145,0.027080122,-0.031842363,0.052604133,0.035163866,-0.09755742,0.021029396,0.055340679,-0.116293673,0.014620794,0.036742151,-0.11301297,0.099577201,0.032991632,-0.086005917,0.06303145,0.044971217,-0.058437369,0.036835646,0.022273561,-0.141461744,-0.075753641,-0.22373512,-0.047221795,-0.089520399,-0.20851524,-0.02571311,-0.060423279,-0.07405769,-0.110425766,-0.125711301,-0.132219386,-0.141987,-0.010206721,-0.194510628,-0.052872164,0.271655731
TCGA-44-5645-01B,-0.02129513,-0.209401886,-0.196053481,-0.046291403,-0.114324543,-0.139417757,0.043113123,-0.033752871,-0.031238602,-0.031764239,0.02756079,0.127237269,-0.002050343,-0.229223697,-0.214823999,-0.182748553,-0.101868429,0.099018916,-0.140893186,-0.075441871,0.131470931,-0.052952809,-0.160550482,-0.024904214,-0.26492524,-0.169374695,0.265557931,-0.284856173,-0.140629268,0.074260592,0.060327696,-0.04202823,-0.03967946,-0.230884117,-0.141743845,0.000352195,-0.233831673,-0.140795146,-0.000906143,-0.286476274,-0.217993933,-0.139353944,-0.242662311,-0.167434959,-0.033054831,-0.206705904,-0.169861149,-0.024331563,0.110401377,-0.006954952,-0.113182997,0.096880283,-0.029303088,-0.070915166,-0.022331289,-0.094577603,-0.212022121,0.153792635,-0.034117424,-0.086533396,0.079868402,-0.013180908,-0.070423333,0.130888433,0.028793331,-0.118978762,0.083435228,0.033445546,-0.097304467,0.101611818,-0.090080999,-0.222709631,0.159593876,-0.035188546,-0.085489767,0.081918258,-0.012131287,-0.126091006,-0.139065786,-0.084617702,-0.128157379,-0.11692537,-0.115276753,-0.136629194,-0.04607364,-0.154700252,-0.312850842,-0.122014045,-0.150769151,-0.28166981,-0.122274077,-0.109067929,0.003962139,0.205693684
TCGA-44-6147-01A,-0.113496047,-0.163689908,-0.212110334,-0.12816691,-0.143974601,-0.149273865,-0.025449615,-0.009868302,-0.01072044,-0.033581718,-0.02783604,0.076940829,-0.063774551,-0.236316724,-0.248890197,-0.367864059,-0.055686606,0.113027574,-0.371771006,0.038264168,0.151050285,0.146971378,-0.169205133,-0.135542965,-0.352862899,-0.137199741,0.272938431,-0.321490759,-0.224359737,0.103921779,0.042254065,0.011760654,-0.021639952,-0.34803493,-0.303002855,-0.056602035,-0.359415291,-0.3086463,-0.079484605,-0.363418669,-0.340996796,-0.134454829,-0.362617322,-0.306582067,-0.040452724,-0.34625201,-0.300810829,-0.082491392,-0.052934069,-0.112670665,-0.052598546,-0.033038285,-0.094655393,-0.051827558,0.003577329,-0.11587888,-0.192790829,-0.033266573,-0.092632813,-0.012747523,-0.065634333,-0.103050547,-0.035017133,-0.065456406,-0.101107926,-0.048477947,-0.071479952,-0.08935028,-0.054039403,0.02349396,-0.063503098,-0.193672617,-0.01925058,-0.096928434,-0.03594946,-0.11632245,-0.091180361,-0.051510411,-0.198595223,-0.19575765,-0.112488191,-0.18368941,-0.192990815,-0.11456893,-0.152119346,-0.171744826,-0.273645301,-0.219207194,-0.158586177,-0.284492006,-0.126628288,-0.191421379,-0.016053835,0.265794355
TCGA-44-6147-01B,-0.187805691,-0.089212279,-0.151899918,-0.104046372,-0.074920908,-0.115828207,0.078096525,-0.019848431,-0.024191962,-0.177937438,0.06433114,0.147540907,0.024143798,-0.114972276,-0.251456819,-0.135266326,-0.010049708,0.039284525,-0.109183132,-0.00165172,0.049500804,-0.073665882,-0.085452482,-0.049833485,-0.115223217,-0.177992827,0.266415822,-0.166929153,-0.076642118,-0.004411649,-0.060482375,-0.035604865,-0.007821361,-0.158434878,-0.037909427,-0.116659205,-0.152846611,-0.044010423,-0.118607089,-0.208521669,-0.107312547,-0.154394815,-0.170942999,-0.044681124,-0.148844341,-0.139690319,-0.058438348,-0.087693843,0.080445144,0.034125156,-0.118811799,0.068768855,0.031008571,-0.109963961,0.091214235,-0.025662048,-0.179088084,0.124987329,-0.029501514,-0.109041335,-0.002675141,0.032980788,-0.111882225,0.142349476,0.007493532,-0.138602129,0.119591437,0.013230078,-0.126316561,0.148780656,-0.036375104,-0.166189627,0.18581763,-0.004756631,-0.122491866,0.094721344,0.00301991,-0.138807648,-0.120020827,-0.103718669,-0.105694594,-0.100688822,-0.110114168,-0.140747967,-0.060308217,-0.064183182,-0.223084355,-0.079291094,-0.121937096,-0.269200608,-0.089606602,-0.059461387,0.013502018,0.13410199
TCGA-44-A4SU-01A,-0.171939013,-0.178554807,-0.236776746,-0.161842577,-0.19357363,-0.173791641,-0.088749351,-0.01700776,0.040564812,-0.070381465,0.016556322,0.128663568,-0.08910522,-0.250263008,-0.206053753,-0.21392917,-0.127867099,0.057716594,-0.176319808,-0.086062242,0.072618697,0.22691383,-0.189353794,-0.107311045,-0.060892983,-0.185410508,0.270509559,-0.321282973,-0.197540111,0.099837179,0.032492616,-0.099995301,-0.027995862,-0.078862735,-0.247155226,0.023224296,-0.078087262,-0.243385712,0.021471399,-0.18580456,-0.246560849,-0.144363783,-0.089082526,-0.235268697,-0.05932051,-0.046383693,-0.224960719,0.028808363,-0.064450398,-0.129886157,-0.070759671,-0.082998304,-0.136627306,-0.05850211,0.038391375,-0.139443844,-0.215633217,-0.092480052,-0.139149212,-0.091843268,-0.113923047,-0.152904799,-0.055636486,-0.046531599,-0.139840059,-0.052840396,-0.066815184,-0.138169883,-0.046072863,0.098539597,-0.109987746,-0.211718879,0.003432992,-0.139687139,-0.089078245,-0.118659384,-0.164132429,-0.041267666,-0.171090928,-0.210340708,-0.125956179,-0.172422423,-0.216820849,-0.158898544,-0.144474704,-0.202601832,-0.309235961,-0.185821492,-0.200032463,-0.237666922,-0.136085391,-0.204392362,-0.020086429,0.287598828
TCGA-49-4490-01A,-0.237475496,-0.237890691,-0.224697391,-0.183989734,-0.235142041,-0.171905056,-0.02309028,-0.087091126,-0.02359357,-0.060011812,0.017054899,0.107915134,-0.058815907,-0.241205157,-0.275967862,0.049390279,-0.082377685,0.01189877,0.017484674,-0.063728867,-0.016528866,-0.052781794,0.008562803,0.047357361,-0.019957673,-0.16163261,0.289789819,0.097288978,-0.125704689,-0.022231583,0.028865585,-0.05382872,-0.033389993,0.059472744,-0.075057461,-0.051617293,0.056983142,-0.088709722,-0.058262299,0.008746006,0.027400313,-0.112974937,0.067608234,-0.045003893,-0.066190051,0.063927424,-0.085932304,-0.044837136,-0.017862961,-0.04357551,-0.081512379,-0.014715679,-0.068665393,-0.072020545,0.084754212,-0.118308582,-0.181319952,0.028131752,-0.055245948,-0.092606425,-0.051796228,-0.053994684,-0.071774544,-0.004976252,-0.040292373,-0.119745609,-0.031180257,-0.034427172,-0.111727507,0.025724665,-0.073783362,-0.204966655,0.028153693,-0.035659887,-0.089040357,-0.003796071,-0.088359897,-0.12412059,-0.101666652,-0.124064439,-0.09910326,-0.122739031,-0.119930055,-0.083538192,0.034540838,-0.106588271,-0.260952723,-0.095454127,-0.127910542,-0.235605418,-0.07065671,-0.139800195,-0.019576988,0.288934748
TCGA-49-4494-01A,-0.110699249,-0.125353004,-0.198475826,-0.070331111,-0.077939042,-0.150108373,-0.088441017,-0.079757619,0.018283114,0.04905691,-0.06564707,0.115423531,-0.13244158,-0.265739768,-0.146662808,-0.155021082,-0.130764428,0.028598827,-0.138388332,-0.082068837,0.018658084,0.09589712,-0.078891091,-0.083482641,-0.098789477,-0.22900635,0.267649727,-0.288028143,-0.116535298,0.025779805,-0.067445841,-0.022965545,0.006677289,-0.087124024,-0.124004907,-0.070022422,-0.085093694,-0.112357226,-0.075181711,-0.051623128,-0.139591108,-0.154815146,-0.098172434,-0.128317356,-0.13031337,-0.101898825,-0.108368532,-0.086739654,-0.008073709,-0.061803193,-0.059797579,-0.039407813,-0.039824281,-0.054650733,0.024947523,-0.119417172,-0.21205863,0.020325286,-0.064366921,-0.075507258,-0.075247161,-0.049955582,-0.083140987,-0.048448753,-0.07056024,-0.079673069,-0.072926015,-0.058994024,-0.087766035,0.021397598,-0.121912145,-0.238220951,0.010950127,-0.079483768,-0.093471398,-0.088415553,-0.073115856,-0.110811909,-0.083648422,0.00956086,-0.029552248,-0.045330496,-0.008227923,-0.078977698,-0.058102145,-0.162940234,-0.360146693,-0.050888889,-0.070456326,-0.146393079,-0.118632124,-0.021685811,0.018168906,0.001830096
TCGA-49-4501-01A,-0.153286079,-0.223281517,-0.222771333,-0.041901825,-0.157719751,-0.163008361,-0.00661307,-0.022914894,-0.003987753,-0.001617464,0.059528963,0.060616122,-0.042132132,-0.2162611,-0.296215442,-0.237039642,-0.228814665,0.01341079,-0.198426952,-0.222530218,0.019436419,-0.23364673,-0.258731182,-0.016283784,-0.329445161,-0.170790252,0.249878706,-0.105494963,-0.222434005,0.007678501,0.032543627,-0.079105913,0.038480081,-0.306948905,-0.284892483,-0.062240399,-0.308818747,-0.284769892,-0.080237433,-0.271521442,-0.265180574,-0.133566975,-0.304070237,-0.273791214,-0.062851978,-0.308335537,-0.287321437,-0.068861548,0.043001707,-0.034967785,-0.077333071,0.061651665,-0.042454957,-0.061532766,0.047701193,-0.066884724,-0.171196839,0.063555067,-0.028878719,-0.080248475,-0.008934025,-0.055966616,-0.088744385,0.022081276,0.001934664,-0.108572919,-0.001157208,0.005875782,-0.098813414,0.068773282,-0.021260577,-0.168562182,0.036458409,0.024741634,-0.111755374,-0.02734603,-0.024860591,-0.118586847,-0.120415152,-0.181864115,-0.087255846,-0.106318381,-0.17886554,-0.093243922,-0.085986399,-0.13064127,-0.223170528,-0.156864142,-0.159556264,-0.18407985,-0.079698061,-0.180831555,-0.007948247,0.260888657
TCGA-50-5935-01A,-0.212679439,-0.198711221,-0.212240595,-0.142379862,-0.168804764,-0.135372006,-0.030829291,-0.033264192,0.011581978,-0.17222024,0.097013455,0.152705633,-0.040635193,-0.233039826,-0.216658871,-0.197420427,-0.146179361,0.048071581,-0.18608941,-0.095377447,0.058675728,-0.04962002,-0.18039635,-0.050189527,-0.226771893,-0.149034361,0.273609181,-0.231449266,-0.213469283,0.048367369,0.051049673,0.025324578,-0.0322529,-0.183124811,-0.21675221,-0.064620396,-0.179219398,-0.215293588,-0.057424535,-0.205530173,-0.226282005,-0.145338274,-0.185564459,-0.211119798,-0.072054277,-0.176335212,-0.205383469,-0.024211222,0.069617166,-0.056799371,-0.092231312,0.071712406,-0.048542232,-0.085012674,0.121940289,-0.087046397,-0.217656624,0.072471533,-0.061644902,-0.081591113,0.037946646,-0.061651307,-0.10174725,0.092550329,-0.053551945,-0.114179238,0.061668166,-0.045674492,-0.095818991,0.151150951,-0.059522569,-0.214082131,0.118929462,-0.062568617,-0.110652475,0.018977442,-0.069616982,-0.111766942,-0.194674235,-0.166621038,-0.092457479,-0.193596877,-0.175464145,-0.13469264,-0.137290061,-0.187288724,-0.321409559,-0.193001897,-0.183800955,-0.259111223,-0.148562522,-0.160568313,0.022840498,0.310681953
